Post URI,Content,Author,Timestamp,Likes,Replies,Reposts,keyword,sentiment_score,sentiment,month
at://did:plc:ctxhjt5to2wvxbw7vny5kau7/app.bsky.feed.post/3lws2aow5ys2u,"Also seconding this! 

With my schedule 2 full body per week is what I can do.

I absolutely don't eat enough, and the only way I can is protein powder smoothies.

Eating and rest are sometimes more important than the lifts.",lazuriteraccoon.bsky.social,2025-08-19 23:16:55.600000+00:00,4,0,0,smoothie,0.3367,Positive,2025-08
at://did:plc:wtdl6d4dwea5go7inoobdxbl/app.bsky.feed.post/3lwrzb6ze5s2q,"What a wonderful man he was…🎵

He also slow pulses birds into chocolate smoothies per his family

but you just keep treating that brain tumor with colloidal silver abt his supposed ‘thoughtfulness’",nerissaknm.bsky.social,2025-08-19 22:59:21+00:00,0,1,0,smoothie,-0.2617,Negative,2025-08
at://did:plc:apm45jbg57tyuzoovjodcbpn/app.bsky.feed.post/3lwryyfkqak2a,"By rawdogging instant oatmeal packets as a child, I have acquired the arcane knowledge as an adult that I can put them in smoothies",maliceinchainz.bsky.social,2025-08-19 22:54:23.904000+00:00,6,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:zghetsmylgcsp4vvgg5wwarc/app.bsky.feed.post/3lwrx425nkc2n,Returning to making smoothies for staying cool and using fiber and stuff to help stay full and only realizing now I can swap orange juice for green tea in these things. I’m about to become a new kind of sicko.,thegreatjug.bsky.social,2025-08-19 22:20:38.202000+00:00,3,0,0,smoothie,0.6124,Positive,2025-08
at://did:plc:wbqqr3zuun4p6fmyewetyfd3/app.bsky.feed.post/3lwrstwwgl22t,"But Dorian, if these things are normal and fun, how can I sell you on my new diet of only eating boiled legumes on alternating days and egg smoothies on days that feature the letter r?",brianmcnatt.bsky.social,2025-08-19 21:04:31.407000+00:00,3,0,1,smoothie,0.6652,Positive,2025-08
at://did:plc:bzntjeltbuey2dn3yruujzac/app.bsky.feed.post/3lwrpnwsvgw2g,Frozen berries are just as nutritious but are cheaper and don’t spoil. You just have to blend them into smoothies.,maple1312.bsky.social,2025-08-19 20:07:28.510000+00:00,1,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:tji6j6rq5jwaozef2p6kql54/app.bsky.feed.post/3lwrofw5rts2o,"Eeugh. We tried these new mango pineapple smoothies at @sheetz.bsky.social and they were genuinely terrible. This wasn't a smoothie, it was a cup of yogurt that vaguely tasted of mango. Employee said that thats how they're supposed to make them too.",andifferous.bsky.social,2025-08-19 19:45:05.808000+00:00,0,0,0,smoothie,-0.4767,Negative,2025-08
at://did:plc:kxu57hzs7hkqinozalbd3tma/app.bsky.feed.post/3lwrobnam5u2x,"Replace Your Meals, Not Your Happiness – Transform Your Body in 21 Days

Lose 10–15 lbs in 21 Days • Smoothie Diet Ready to start your 21‑Day Plan? Start Now The Smoothie Diet Lose 10–15 lbs in Just 21 Days – With Delicious Smoothies! No starving. No strict rules. Just simple, tasty recipes that…",u24usa.bsky.social,2025-08-19 19:42:42.105000+00:00,0,0,0,smoothie,-0.8232,Negative,2025-08
at://did:plc:3kvdmvxdbv4d5vaw5sj7sfzw/app.bsky.feed.post/3lwrnn6v72k2a,"I'm in the process of saving grocery lists based off of meals. So far, I have four lists with six meals each and then other lists with the stuff we buy every week (like bananas for smoothies). I'm really hopeful that this works and takes away some of the mental load in the future",unxpctdisvry.bsky.social,2025-08-19 19:31:16.103000+00:00,4,1,0,smoothie,0.5563,Positive,2025-08
at://did:plc:t6ksokric4s55d4fzyjutkt7/app.bsky.feed.post/3lwrn7oq5r22h,"It's sea buckthorn time! I've been picking every morning for a week, not an easy task. They say to freeze the stems & the berries come off more easily, but they fruit on old wood so I don't want to cut it off! I usually freeze them & add to smoothies. I tried jelly, & it set up beautifully. 🌱 🍽️",joansgarden.bsky.social,2025-08-19 19:24:05.319000+00:00,36,4,3,smoothie,0.8247,Positive,2025-08
at://did:plc:h6zdd3bkwcy2nocwa7ov23kd/app.bsky.feed.post/3lwrmzgok722q,"Yeah take it easy ! I do a 5 gym day schedule and it was /grueling/ when I first started, could barely do 2. Rest days are important, those are the actual days when the body starts to really repair itself to make muscle and stamina stronger.

Also can vouch for protein powder smoothies.",coyotea.bsky.social,2025-08-19 19:20:13.910000+00:00,5,1,0,smoothie,0.8748,Positive,2025-08
at://did:plc:434jxukm7zeif43y3qnqf6zy/app.bsky.feed.post/3lwrkrujvsc2r,smoothies with protein powder are my go to,rudemydude.bsky.social,2025-08-19 18:40:12.406000+00:00,2,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:at6jwoaxkrkyr7utjdiwjgm4/app.bsky.feed.post/3lwrkpb3nkk2y,"I got some bars and plates I bought during Covid. I could break those out if I wanted. I need to start with my yearly weight loss first. So, smoothies to start. Next week the kid goes to school so I can start walking on my lunch break. Turn that into a jog by the end of September.",transformerdad.bsky.social,2025-08-19 18:38:44.012000+00:00,1,1,0,smoothie,-0.3182,Negative,2025-08
at://did:plc:wjn2d4v7stiy2n6qhm7bwkhf/app.bsky.feed.post/3lwrk4rjd2c2r,Making pastries and smoothies and we're watching anime lol,shimmeringecho.bsky.social,2025-08-19 18:28:23.906000+00:00,3,0,0,smoothie,0.4215,Positive,2025-08
at://did:plc:4hzqfbxaiuzgj6nkiexfyiut/app.bsky.feed.post/3lwrjcad3u22c,"🥬 Think green smoothies are always healthy? Think again.
Too much kale, arugula, or broccoli could trigger fatigue, skin issues, or even thyroid imbalance. ⚠️

Here’s what you should know: thenutritionwatchdog.com/the-dangers-...

#GreenSmoothies #Nutrition",nutritionwatchdog.bsky.social,2025-08-19 18:14:51.812000+00:00,0,0,0,smoothie,0.1779,Positive,2025-08
at://did:plc:ywz7fhqplsdxwh3vl5o7wr3s/app.bsky.feed.post/3lwrilnnq522c,"Apple Smoothies for Weight Loss: 10 Easy & Healthy Recipes

✨ Want to lose weight without giving up flavor? Try these 10 apple smoothie recipes that are fresh, filling & fat-burning! 🍏

www.healthawei.com/2025/08/appl...

#WeightLoss #Smoothies #HealthyEating",healthawei.bsky.social,2025-08-19 18:01:00.310000+00:00,0,0,0,smoothie,0.3519,Positive,2025-08
at://did:plc:zh4dkjdwsmxdgupdp5z73o6s/app.bsky.feed.post/3lwrh3ptwx22i,scampi smoothies,dickardo.bsky.social,2025-08-19 17:34:08.009000+00:00,3,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:ottybuvu7qhh7t6y5s6tg5gg/app.bsky.feed.post/3lwrfvwgues2b,Haha! I actually snorted into my beer at that! I have honestly tried to like kale but food shouldn’t be that much hard work for minimal pleasure. Some maniacs even put it in smoothies. <shudders>,dzyrl.bsky.social,2025-08-19 17:12:59.207000+00:00,2,0,0,smoothie,0.7896,Positive,2025-08
at://did:plc:2dynn2j7gcldboc7mqmbd62d/app.bsky.feed.post/3lwrfoqpkup2a,"make smoochies , not smoothies !",3dwiscr.bsky.social,2025-08-19 17:08:58.206000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:265db7sm562y3622h3t62koz/app.bsky.feed.post/3lwrcppg33c2t,"Oh that’s a good idea! We’ve been making zucchini bread and adding some to smoothies, but it’s hard to know what to do with it all.",hollychessman.bsky.social,2025-08-19 16:15:49.608000+00:00,1,2,0,smoothie,0.1635,Positive,2025-08
at://did:plc:tjjwcvpbdg5lly4hf3hgf3nk/app.bsky.feed.post/3lwrc4lqgyw2x,"⭐️OFERTA  #AMAZON⭐️

Moulinex Batidora de vaso Blendforce 2 - Jarra de vidrio 1,25 L útil, potencia 800 W, bloqueo inteligente, picadora hielo, smoothies, sopas, salsas, cremas para untar, granizados, color negro, LM4308

💶 Precio: 47.98€
❌ Antes: 59.99€

🖇 https://btz.es/4UuU6us",ofertaschollosymas.bsky.social,2025-08-19 16:05:08.405000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:irb6w5thw5c6ivhb5efp7hrv/app.bsky.feed.post/3lwrbre67g22u,"The banana chips are actually pretty awesome snacks, but I also suspect I could toss them in my smoothies! I decided not to powder them because I can always powder chips but I can't unpowder powder.",mostlybree.kitrocha.com,2025-08-19 15:58:51.803000+00:00,16,2,0,smoothie,0.2828,Positive,2025-08
at://did:plc:wuxbxss4gu4ocduxm6exvq6z/app.bsky.feed.post/3lwraqm55uk26,"200 delicious smoothie recipes with Full-Color Photos.

qkpage2.co/p/Smoothie_D...

#delicious #ebook #recipes #smoothie #smoothiediet",suneeshkumar.bsky.social,2025-08-19 15:40:58.816000+00:00,2,0,0,smoothie,0.5719,Positive,2025-08
at://did:plc:pbzyf27wrn6on24dj27ibbol/app.bsky.feed.post/3lwqr3zjhdz2i,"Batidora para smoothies con recipiente de 400ml ►13.1€ en varios colores  
➡️ www.notengosuelto.com/batidora-smo...",notengosuelto.bsky.social,2025-08-19 11:00:35.606000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:wcvol6nfba6mq4ukfugt7syz/app.bsky.feed.post/3lwqohpobpk2w,"#Eattheweeds Dollarweed (Hydrocotyle umbellata) is native to eastern North America. It's a weed, but we use it as a spinach substitute raw or cooked, & as part of the mix for our pestos, smoothies, or dips.
Note: Don’t eat this if your lawn service applies landscape-wide pesticides & fertilizers.",ginnystibolt.bsky.social,2025-08-19 10:13:29.004000+00:00,5,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:kbdvw3cnmml7xrlhlkv4nlw5/app.bsky.feed.post/3lwqmg47d7s2q,death to false smoothies,purechtrumpi.bsky.social,2025-08-19 09:36:45.503000+00:00,3,0,0,smoothie,-0.5994,Negative,2025-08
at://did:plc:6xo66glu54x53ioe27h5d6ho/app.bsky.feed.post/3lwqixqphfz24,"Another society spotlight 🔦 The Catz Smoothie Society has been a refreshing addition to student life at Catz for more than 10 years and encourages students to have fun, socialise, meet new people, take time for their wellbeing and of course drink smoothies!",stcatharines.bsky.social,2025-08-19 08:35:05.610000+00:00,1,0,0,smoothie,0.7574,Positive,2025-08
at://did:plc:cohclfex657imyjevrnigxew/app.bsky.feed.post/3lwqhq5gqqk2e,just gonna drink some smoothies and lots of water and take a painkiller,sanlangsbutterfly.bsky.social,2025-08-19 08:13:16.218000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:qlxaogtl5j76rafky5oo52ir/app.bsky.feed.post/3lwqfr7fvhk2v,"“Well, the blueberries we have here are going to turn into smoothies and I’m going to drink some blueberry tea with you while I talk about the history of blueberries.” He regrets saying that, as Drake is washing the glasses for smoothies. Ricardo is squirming because of the sound of the water.",literarypeerelief.bsky.social,2025-08-19 07:37:43.305000+00:00,2,0,0,smoothie,-0.3612,Negative,2025-08
at://did:plc:h64n7p4fspsuwhw4rxpivdsq/app.bsky.feed.post/3lwqbtwhqac2f,"“Gender dysphoria is a mental illness” 

Yea and the ppl who have it the worst are all Trump supporters.

Never in my life have I hated my body so much I’d be willing to drink raw meat smoothies to fix it.",lewdles.bsky.social,2025-08-19 06:27:37.407000+00:00,71,3,6,smoothie,-0.7506,Negative,2025-08
at://did:plc:uhclbtgben27lsgd7zd77dee/app.bsky.feed.post/3lwq5jcwqmd2u,"Cet été, optez pour la machine à desserts glacés Ninja CREAMi NC300EU en promotion. Gourmande et multifonction, dégustez des crèmes glacées, sorbets et smoothies, faits maison. Disponible sur le site officiel Ninja Kitchen, elle passe actuellement de 249,99 € à 199,99 €. #people #actupeople ...",publicfr.bsky.social,2025-08-19 05:10:07.103000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:kxu57hzs7hkqinozalbd3tma/app.bsky.feed.post/3lwq3tm46or26,"Is moringa powder as effective as moringa leaf and fruit? | – Times of India

If you’ve been hanging around the wellness aisle in any health store in the US chances are you’ve already spotted moringa powder sitting pretty in green packets. It’s marketed as a “superfood,” tossed into smoothies,…",u24usa.bsky.social,2025-08-19 04:40:04.104000+00:00,0,0,0,smoothie,0.875,Positive,2025-08
at://did:plc:x52l4u43tqcvo5qertynj353/app.bsky.feed.post/3lwq2kly5mk2s,"The Smoothie Diet® | OFFICIAL WEBSITE | USA""

The Smoothie Diet’s official site presents a trusted 21-day smoothie-based weight loss plan. Revitalize your body by replacing meals with nutritious smoothies.

Visit:- www.eng-thesmoothiediet.com",fitnesscare01.bsky.social,2025-08-19 04:17:14.403000+00:00,0,0,0,smoothie,0.2023,Positive,2025-08
at://did:plc:fc2gusbhlelz43l7oexi5zq4/app.bsky.feed.post/3lwpvyu37q22q,"Rewatching Smallville. Some episodes really hold up. Others feature Amy Adams in a fat suit drinking Kryptonite smoothies to get thin. Those at least remind me that, despite everything, there are some things that are better than they were during the W. administration.",jimbosaur.bsky.social,2025-08-19 02:55:38.306000+00:00,4,1,1,smoothie,0.4404,Positive,2025-08
at://did:plc:5ma5ky4rcieea2ne4z5id7ot/app.bsky.feed.post/3lwpvr4wmjs2j,"To be more specific,

I'm trying a new diet which is mostly green smoothies 

I will still eat beans and rice or pasta if I'm really hungry (today I will likely reach 4 k calories burn)

I have many fruits plus kale spinach avocados oatmeal no calorie natural sweetener almond milk and silken tofu",yoandri25.bsky.social,2025-08-19 02:51:19.104000+00:00,0,1,0,smoothie,0.1027,Positive,2025-08
at://did:plc:tqhjhvjsowaayzrm4ulpzcza/app.bsky.feed.post/3lwpumcw4h22b,I found some specially frozen to be put in smoothies so hopefully that’s better,s.qiouyi.lu,2025-08-19 02:30:43.804000+00:00,1,0,0,smoothie,0.7687,Positive,2025-08
at://did:plc:sqnp2n5lak5joumnpgj3xxsq/app.bsky.feed.post/3lwptd5hfds2y,thankfully its fine in smoothies but the texture is literally slime when eaten alone,jirodiseu.bsky.social,2025-08-19 02:07:41.923000+00:00,2,0,0,smoothie,-0.0516,Negative,2025-08
at://did:plc:tqhjhvjsowaayzrm4ulpzcza/app.bsky.feed.post/3lwpqwyhvo22m,when the frozen veggie bag says “needs to be fully cooked” do they actually mean that or can I put it in my smoothies,s.qiouyi.lu,2025-08-19 01:25:06.802000+00:00,1,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:tqhjhvjsowaayzrm4ulpzcza/app.bsky.feed.post/3lwpp5thqcc2b,"I’ve been neglecting protein and I usually don’t let myself have sugar bc Sugar Bad but like maybe after 7–8 hours of standing and lifting things Sugar Fine Actually

I’m charging the blender bottle I got and I’m gonna go shop for some frozen stuff, maybe I can handle smoothies even if I can’t cook",s.qiouyi.lu,2025-08-19 00:53:09.308000+00:00,1,0,0,smoothie,0.3291,Positive,2025-08
at://did:plc:qowhsjfedzq6lu3vn3e6cfld/app.bsky.feed.post/3lwplr47dnk2z,"I do not dig blueberries, only in smoothies. 🤷‍♂️",jve-joe.bsky.social,2025-08-18 23:52:20.606000+00:00,1,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:tecqdqisdgiquy2dy56tk56l/app.bsky.feed.post/3lwpl2f6h3k2r,"uh, I just learned that ""liver smoothies"" are a thing in some American circles. I mean, uh, WTF",lestrrat.bsky.social,2025-08-18 23:39:36.104000+00:00,1,0,0,smoothie,-0.6739,Negative,2025-08
at://did:plc:g3agu4ahdqx37jihu3vbmjke/app.bsky.feed.post/3lwpjgxzv4c2w,tired of post-workout strawberry banana smoothies so i’m gonna make it a ~matcha latte~ instead 🥲,kcarmeezy.bsky.social,2025-08-18 23:10:53.005000+00:00,0,0,0,smoothie,-0.4404,Negative,2025-08
at://did:plc:zif37kabt5ehlklil52x5xyi/app.bsky.feed.post/3lwpjdhqitc2s,"after i barfed i immediately felt better lol, im just going to take it suuuuuuuuuuper easy on food / mostly have smoothies until i can get to the doctor",boner.dad,2025-08-18 23:08:58.507000+00:00,1,1,0,smoothie,0.8225,Positive,2025-08
at://did:plc:x3qpp4zz6dhkk7ovlfg4q3pj/app.bsky.feed.post/3lwpiscrm7c2a,"Same here, smoothies are one of the only ways I get them in bc some of the textures freak me out too much 😂 No problem love 🫶🏻 I definitely recommend them, I couldn’t believe how much they tasted like chocolate milk!",tristynnn.swifties.social,2025-08-18 22:59:19.509000+00:00,0,0,0,smoothie,0.6588,Positive,2025-08
at://did:plc:jkr4y5giz55c34witxst76ss/app.bsky.feed.post/3lwpipq2i722b,"Thank you so much for this, definitely helpful! Smoothies are definitely a life saver for me because I can’t even put half the fruits and veggies out there in my mouth without having a problem. I have heard many good things about the fairlife shakes, I’m going to have to check it out! Thanks love! 🫶🏼",harmoonize.bsky.social,2025-08-18 22:57:53.403000+00:00,1,1,0,smoothie,0.9741,Positive,2025-08
at://did:plc:x3qpp4zz6dhkk7ovlfg4q3pj/app.bsky.feed.post/3lwpijgoozk2a,"I like to add protein shakes in the mix too like the fairlife chocolate ones literally taste like chocolate milk so I’ll actually drink it. I also recommend smoothies, blending everything together helps me take in a lot of veggies and fruits that normally I wouldn’t eat bc of the textures",tristynnn.swifties.social,2025-08-18 22:54:21.539000+00:00,1,3,0,smoothie,0.891,Positive,2025-08
at://did:plc:2ob3illanggbfq2nge33zzq3/app.bsky.feed.post/3lwpgf664vx2i,Greek Yogurt Vs. Regular Yogurt: Which Is Better For Smoothies?,tastingtable.bsky.social,2025-08-18 22:16:11.409000+00:00,0,0,0,smoothie,0.4404,Positive,2025-08
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lwpetcelbx2o,@Forbes: Coco Gauff Releases First Smoothie Collaboration With Naked Smoothies  https://t.co/04vaMzF8Jc,news-feed.bsky.social,2025-08-18 21:48:17.607000+00:00,0,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:zif37kabt5ehlklil52x5xyi/app.bsky.feed.post/3lwpei6ogks2u,"and ended up with the same awful pain although it only lasted a few hours.  ive been pretty good with like a tuna fish sandwich for lunch and smoothies with a basic dinner, until today.  had a smoothie for breakfast, TF sandwich for lunch, got absolutely terrible stomach pain, FAINTED, then puked",boner.dad,2025-08-18 21:42:07.705000+00:00,5,1,0,smoothie,-0.8016,Negative,2025-08
at://did:plc:lo6b2gh2h5mkhr4hplo5vriz/app.bsky.feed.post/3lwpdjdnay22n,Aqua Teen Hunger Force invented meat smoothies,joecorey3rd.bsky.social,2025-08-18 21:24:55.312000+00:00,0,0,0,smoothie,-0.25,Negative,2025-08
at://did:plc:lgavisipysbkxgsvamknwetz/app.bsky.feed.post/3lwpckmwf6c2m,"As others have noted, it's no joke that people will die due to RFK Jr and his fellow quacks who are selling snake oil to the public and removing legitimate protections such as vaccines. 
But hey, keeping drinking that raw milk and liver smoothies!",twirlingtofreedom.bsky.social,2025-08-18 21:07:39.504000+00:00,0,0,0,smoothie,-0.4102,Negative,2025-08
at://did:plc:xlcixrqja5eekb63odblolb2/app.bsky.feed.post/3lwpcdicfts2z,"Unfortunately bananas hate me 😔 (any time I eat them or drink smoothies with them I get HORRIBLE stomach and intestinal pain)

My cardiologist never actually formally diagnosed me but he highly suspects it's pots and told me to put more salt in my food to manage it for the most part.",littlechibs.bsky.social,2025-08-18 21:03:41.504000+00:00,2,2,0,smoothie,-0.8484,Negative,2025-08
at://did:plc:u5llvgrv2uolle2ufteeuepg/app.bsky.feed.post/3lwpbx4d7dc2g,"Eating protein bars after workouts, or protein powder in water (bleh! But I don’t like smoothies). Putting both beans & tofu into dinner, or some chicken with the beans. Higher-protein yogurt as a snack. Basically: lots of little stuff.",akkabah.bsky.social,2025-08-18 20:56:45.005000+00:00,1,1,0,smoothie,0.5487,Positive,2025-08
at://did:plc:lxyjvn4253qzkdzlx6mtvvrd/app.bsky.feed.post/3lwpbjmpugs24,I feel this. We’ve started using whey powder in smoothies. What are you doing?,klaxoncomms.com,2025-08-18 20:49:12.046000+00:00,1,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:6w7425hsc4mjjkte2mbsxdhw/app.bsky.feed.post/3lwpb27hf7d2s,"10+ High-Fiber Chia Seed Smoothies

https://www.newsbeep.com/uk/76203/

Chia seeds are a small but powerful way to eat more fiber, and one of the best ways…",uk-nb.bsky.social,2025-08-18 20:40:35.506000+00:00,0,0,0,smoothie,0.8885,Positive,2025-08
at://did:plc:yv4noiev32haqbmxvydikuym/app.bsky.feed.post/3lwpateqnws2e,I admit I'm powerless over peanut butter smoothies.,stringpuller.bsky.social,2025-08-18 20:36:45.302000+00:00,0,0,0,smoothie,-0.34,Negative,2025-08
at://did:plc:mpou526r633ioqztxufrs3jf/app.bsky.feed.post/3lwpa54l2r72b,"We ran to IKEA this morning and now I’m alternating smoking hash and tearing up our asphalt to replace it with brick pavers. 

Those smoothies are doing something to me😎",chingatualgorithm.bsky.social,2025-08-18 20:24:18.308000+00:00,1,1,0,smoothie,0.0,Neutral,2025-08
at://did:plc:dm75mtvtkyyuafmpm7tgmurk/app.bsky.feed.post/3lwp7xg6sls2p,"I'm hungry .....

And I ran out of ingredients for smoothies :((",tachnology.bsky.social,2025-08-18 20:21:08.910000+00:00,1,0,0,smoothie,0.0,Neutral,2025-08
at://did:plc:heglhago54qksecbfhtagqd3/app.bsky.feed.post/3lwp7btzdak2p,MXFRUIT & Smoothies Forever #MXFRUIT #tpop #riri_3dits #edits #girlgroup,riri3dits.bsky.social,2025-08-18 20:09:04.804000+00:00,1,0,1,smoothie,0.0,Neutral,2025-08
at://did:plc:v7oypuqmo54jx6h4tch6g7h5/app.bsky.feed.post/3lwp55t4vhc2y,"Supercharge your health with the power of acai berries! This superfood is loaded with antioxidants, fiber and healthy fats to support heart health, boost your immune system and keep you glowing. Whether blended into smoothies or enjoyed in bowls, acai is a delicious way to fuel your body and mind.",clevelandclinic.bsky.social,2025-08-18 19:31:03.710000+00:00,3,0,0,smoothie,0.9485,Positive,2025-08
at://did:plc:xku74geztv7dt46wmvezoxex/app.bsky.feed.post/3lwp3l6s3uk2t,My mom bought me a hugeee bag of frozen fruit because she knows I love smoothies im so happy,th3mangled.bsky.social,2025-08-18 19:02:42.108000+00:00,3,0,0,smoothie,0.8733,Positive,2025-08
at://did:plc:as765l7z4vfx3g7xwhfv67eh/app.bsky.feed.post/3lwp3gnvall2f,"These healthy recipes, from smoothies to overnight oats, are the perfect way to use up a bottle of probiotic-rich kefir.",eatingwell.com,2025-08-18 19:00:11.005000+00:00,0,0,0,smoothie,0.7506,Positive,2025-08
